mat_row_no,mat_col_no,conv_row_no,conv_col_no,p,method,runner,elapsed_average
10,10,3,3,4,block,java,0.6882644414901733
10,10,3,3,4,block,cpp_static,0.0018640756607055664
10,10,3,3,4,block,cpp_dynamic,0.0015466690063476562
10,10,3,3,4,row,java,0.9083033323287963
10,10,3,3,4,row,cpp_static,0.0023318052291870115
10,10,3,3,4,row,cpp_dynamic,0.002235674858093262
10,10,3,3,4,col,java,1.0373460292816161
10,10,3,3,4,col,cpp_static,0.00452117919921875
10,10,3,3,4,col,cpp_dynamic,0.004231500625610352
1000,1000,5,5,2,block,java,5.611198043823242
1000,1000,5,5,2,block,cpp_static,0.4868436813354492
1000,1000,5,5,2,block,cpp_dynamic,0.5605629920959473
1000,1000,5,5,2,row,java,5.2629660844802855
1000,1000,5,5,2,row,cpp_static,0.4506839275360107
1000,1000,5,5,2,row,cpp_dynamic,0.4527137279510498
1000,1000,5,5,2,col,java,5.095103406906128
1000,1000,5,5,2,col,cpp_static,0.44142589569091795
1000,1000,5,5,2,col,cpp_dynamic,0.4381739616394043
1000,1000,5,5,4,block,java,4.9605323553085325
1000,1000,5,5,4,block,cpp_static,0.4368433952331543
1000,1000,5,5,4,block,cpp_dynamic,0.4386108875274658
1000,1000,5,5,4,row,java,4.922977638244629
1000,1000,5,5,4,row,cpp_static,0.43662936687469484
1000,1000,5,5,4,row,cpp_dynamic,0.4480506181716919
1000,1000,5,5,4,col,java,4.964950585365296
1000,1000,5,5,4,col,cpp_static,0.4446150302886963
1000,1000,5,5,4,col,cpp_dynamic,0.4355052947998047
1000,1000,5,5,8,block,java,4.914673113822937
1000,1000,5,5,8,block,cpp_static,0.44656524658203123
1000,1000,5,5,8,block,cpp_dynamic,0.4448177099227905
1000,1000,5,5,8,row,java,4.943702483177185
1000,1000,5,5,8,row,cpp_static,0.44221718311309816
1000,1000,5,5,8,row,cpp_dynamic,0.450943660736084
1000,1000,5,5,8,col,java,4.960274362564087
1000,1000,5,5,8,col,cpp_static,0.44317030906677246
1000,1000,5,5,8,col,cpp_dynamic,0.43583168983459475
1000,1000,5,5,16,block,java,4.932524681091309
1000,1000,5,5,16,block,cpp_static,0.4415407419204712
1000,1000,5,5,16,block,cpp_dynamic,0.4469316482543945
1000,1000,5,5,16,row,java,4.987534999847412
1000,1000,5,5,16,row,cpp_static,0.4416396379470825
1000,1000,5,5,16,row,cpp_dynamic,0.4381712436676025
1000,1000,5,5,16,col,java,4.989794778823852
1000,1000,5,5,16,col,cpp_static,0.43337676525115965
1000,1000,5,5,16,col,cpp_dynamic,0.43182828426361086
10,10000,5,5,2,block,java,1.8001989603042603
10,10000,5,5,2,block,cpp_static,0.053368330001831055
10,10000,5,5,2,block,cpp_dynamic,0.04809503555297852
10,10000,5,5,2,row,java,1.7776360511779785
