p_r,p_w,runner,time
0,0,cpp,0.00262574
0,0,cpp,0.0024835
0,0,cpp,0.00245371
0,0,cpp,0.00244137
0,0,cpp,0.00246624
0,0,cpp,0.00246814
0,0,cpp,0.00242489
0,0,cpp,0.00242212
0,0,cpp,0.00244599
0,0,cpp,0.00241589
4,2,cpp,0.0158918
4,2,cpp,0.0146308
4,2,cpp,0.0152964
4,2,cpp,0.0147274
4,2,cpp,0.0147187
4,2,cpp,0.0154487
4,2,cpp,0.0149208
4,2,cpp,0.0146235
4,2,cpp,0.0148321
4,2,cpp,0.0150147
4,4,cpp,0.0132542
4,4,cpp,0.0131075
4,4,cpp,0.0125733
4,4,cpp,0.0123957
4,4,cpp,0.0129909
4,4,cpp,0.0126039
4,4,cpp,0.0129034
4,4,cpp,0.012789
4,4,cpp,0.0126263
4,4,cpp,0.0130722
4,12,cpp,0.0176088
4,12,cpp,0.0175171
4,12,cpp,0.0156092
4,12,cpp,0.0149958
4,12,cpp,0.0151637
4,12,cpp,0.0159667
4,12,cpp,0.0156651
4,12,cpp,0.0160076
4,12,cpp,0.0150565
4,12,cpp,0.0155551
