runner,p_r,p_w,delta_x,delta_t,time
java,4,4,1,0.001,78.73340225219727
java,4,4,1,0.001,78.79073357582092
java,4,4,1,0.001,82.29982829093933
java,4,4,1,0.001,81.65094256401062
java,4,4,1,0.001,79.29706192016602
java,4,4,1,0.001,82.29889678955078
java,4,4,1,0.001,79.29575037956238
java,4,4,1,0.001,78.66759490966797
java,4,4,1,0.001,78.77442216873169
java,4,4,1,0.002,78.73951506614685
java,4,4,1,0.001,81.78943705558777
java,4,4,1,0.002,78.78737711906433
java,4,4,1,0.002,82.2973005771637
java,4,4,1,0.002,79.29150629043579
java,4,4,1,0.002,81.77997064590454
java,4,4,1,0.002,79.2917799949646
java,4,4,1,0.002,79.29170608520508
java,4,4,1,0.002,82.2946367263794
java,4,4,1,0.004,78.75968718528748
java,4,4,1,0.004,79.29114603996277
java,4,4,1,0.004,79.29590272903442
java,4,4,1,0.002,83.30046701431274
java,4,4,1,0.002,82.30011701583862
java,4,4,1,0.004,78.76485800743103
java,4,4,1,0.004,79.32613730430603
java,4,4,1,0.004,79.29741168022156
java,4,4,1,0.004,79.30212044715881
java,4,4,1,0.004,82.31154942512512
java,4,4,1,0.004,79.307941198349
java,4,4,1,0.004,82.32138419151306
java,2,2,1,0.001,122.31565070152283
java,2,2,1,0.001,123.1008243560791
java,2,2,1,0.001,123.1929817199707
java,2,2,1,0.001,122.70197439193726
java,2,2,1,0.001,119.70014524459839
java,4,4,2,0.001,156.07406997680664
java,2,2,1,0.001,122.70030236244202
java,2,2,1,0.001,119.69862771034241
java,4,4,2,0.001,155.98082327842712
java,2,2,1,0.001,122.69735789299011
java,4,4,2,0.001,155.97363901138306
java,2,2,1,0.002,119.69045495986938
java,4,4,2,0.001,156.02220129966736
java,2,2,1,0.001,122.69786620140076
java,2,2,1,0.002,119.69574880599976
java,4,4,2,0.001,156.04482173919678
java,2,2,1,0.001,123.69945168495178
java,4,4,2,0.001,155.968088388443
java,2,2,1,0.002,122.69743871688843
java,4,4,2,0.001,161.99150371551514
java,2,2,1,0.002,122.6994423866272
java,4,4,2,0.002,156.02224397659302
java,4,4,2,0.001,162.06401824951172
java,4,4,2,0.002,156.10549688339233
java,2,2,1,0.002,123.14861726760864
java,4,4,2,0.002,156.05568718910217
java,2,2,1,0.002,123.11855506896973
java,2,2,1,0.002,122.19014930725098
java,4,4,2,0.001,162.02880787849426
java,2,2,1,0.002,122.70770716667175
java,4,4,2,0.002,156.02826642990112
java,4,4,2,0.001,162.04585027694702
java,2,2,1,0.002,123.69819760322571
java,4,4,2,0.002,155.9532585144043
java,2,2,1,0.004,122.12303018569946
java,2,2,1,0.002,123.13933181762695
java,4,4,2,0.002,155.96612358093262
java,2,2,1,0.004,119.02352285385132
java,2,2,1,0.004,119.02421736717224
java,2,2,1,0.004,122.02824020385742
java,4,4,2,0.002,155.91439700126648
java,2,2,1,0.004,122.06632590293884
java,4,4,2,0.002,161.87792348861694
java,4,4,2,0.002,164.01825189590454
java,4,4,2,0.004,155.86059594154358
java,2,2,1,0.004,122.07478356361389
java,2,2,1,0.004,122.07951951026917
java,4,4,2,0.004,155.89056158065796
java,4,4,2,0.002,161.91316723823547
java,2,2,1,0.004,122.05589938163757
java,4,4,2,0.004,155.86553144454956
java,2,2,1,0.004,122.06154084205627
java,2,2,1,0.004,123.09978985786438
java,4,4,2,0.004,155.92118859291077
java,4,4,2,0.004,162.00791215896606
java,4,4,2,0.004,163.9094524383545
java,4,4,2,0.004,163.94759845733643
java,4,4,2,0.004,161.81474137306213
java,4,4,2,0.004,163.82717156410217
java,4,4,2,0.004,162.04754996299744
java,4,2,1,0.001,78.8945095539093
java,4,2,1,0.001,78.86015725135803
java,4,2,1,0.001,78.82002758979797
java,4,2,1,0.001,81.87000513076782
java,4,2,1,0.001,79.3824462890625
java,4,2,1,0.001,79.372878074646
java,4,2,1,0.001,79.37710952758789
java,4,2,1,0.001,78.88719391822815
java,4,2,1,0.001,78.88369345664978
java,4,2,1,0.002,78.88347029685974
java,4,2,1,0.001,82.87726163864136
java,4,2,1,0.002,79.39318943023682
java,4,2,1,0.002,79.39426136016846
java,4,2,1,0.002,78.85372638702393
java,4,2,1,0.002,79.39106154441833
java,4,2,1,0.002,78.84316229820251
java,4,2,1,0.002,81.91011619567871
java,4,2,1,0.002,83.42585968971252
java,4,2,1,0.004,78.85159993171692
java,4,2,1,0.004,78.73486375808716
java,4,2,1,0.002,81.81382822990417
java,4,2,1,0.004,78.74821615219116
java,4,2,1,0.002,82.89412260055542
java,4,2,1,0.004,79.44418478012085
java,4,2,1,0.004,78.89458990097046
java,4,2,1,0.004,79.4128930568695
java,4,2,1,0.004,79.41838192939758
java,4,2,1,0.004,79.42844080924988
java,4,2,1,0.004,78.74175381660461
java,4,2,1,0.004,78.78756022453308
java,2,2,2,0.001,235.99584341049194
java,2,2,2,0.001,241.87960839271545
java,2,2,2,0.001,242.03899002075195
java,2,2,2,0.002,236.17269945144653
java,2,2,2,0.001,242.0585014820099
java,2,2,2,0.001,243.94426369667053
java,2,2,2,0.002,236.14466643333435
java,2,2,2,0.001,244.05441904067993
java,2,2,2,0.001,249.99193334579468
java,2,2,2,0.001,244.0610466003418
java,2,2,2,0.001,244.03980588912964
java,2,2,2,0.002,242.06688165664673
java,2,2,2,0.002,242.08063793182373
java,2,2,2,0.002,242.21668100357056
java,2,2,2,0.001,250.0638689994812
java,2,2,2,0.002,244.1013684272766
java,2,2,2,0.002,244.25067234039307
java,2,2,2,0.002,248.2475447654724
java,2,2,2,0.002,244.7766613960266
java,2,2,2,0.002,244.78807282447815
java,4,8,1,0.001,78.88732147216797
java,4,8,1,0.001,81.82482671737671
java,4,8,1,0.001,78.88603663444519
java,4,8,1,0.001,81.82686805725098
java,4,8,1,0.001,78.84664630889893
java,4,8,1,0.001,78.77350091934204
java,4,8,1,0.001,78.80813479423523
java,4,8,1,0.001,78.78504371643066
java,4,8,1,0.001,79.00821447372437
java,4,8,1,0.002,79.1741406917572
java,4,8,1,0.001,82.94048643112183
java,4,8,1,0.002,78.98338055610657
java,4,8,1,0.002,82.00398564338684
java,4,8,1,0.002,79.51786947250366
java,4,8,1,0.002,82.53519487380981
java,4,2,2,0.001,155.89339518547058
java,4,8,1,0.002,79.51329755783081
java,4,2,2,0.001,156.41860938072205
java,4,2,2,0.001,156.44213008880615
java,4,8,1,0.002,78.9290063381195
java,4,8,1,0.002,83.52521514892578
java,4,2,2,0.001,156.42783498764038
java,4,8,1,0.002,82.51338243484497
java,4,2,2,0.001,156.41810488700867
java,4,2,2,0.001,155.82507061958313
java,4,8,1,0.002,82.51006841659546
java,4,2,2,0.001,155.94637632369995
java,4,2,2,0.001,163.9055700302124
java,4,2,2,0.001,156.00502157211304
java,4,2,2,0.002,156.0589461326599
java,4,2,2,0.001,161.97218489646912
java,4,2,2,0.002,155.9140248298645
