=== CERERI IN ASTEPTARE ===
=== CERERI EFECTUATE ===
1707297129145 68 plecare locatie
1707297129145 92 sosire locatie
1707297129145 78 plecare locatie
1707297129145 79 sosire locatie
1707297129145 90 sosire locatie
1707297129145 5 plecare locatie
1707297129155 39 plecare locatie
1707297129159 83 sosire locatie
1707297129161 38 plecare locatie
1707297129164 16 sosire locatie
1707297129170 17 plecare locatie
1707297129174 53 plecare locatie
1707297129175 77 plecare locatie
1707297129174 81 sosire locatie
1707297129180 29 sosire locatie
1707297129181 38 plecare locatie
1707297129188 24 sosire locatie
1707297129196 82 plecare locatie
1707297129199 72 sosire locatie
1707297129200 58 sosire locatie
1707297129201 27 plecare locatie
1707297129204 95 sosire locatie
1707297129203 85 plecare locatie
1707297129214 67 sosire locatie
1707297129217 85 plecare locatie
1707297129216 22 plecare locatie
1707297129219 4 plecare locatie
1707297129229 85 sosire locatie
1707297129231 66 sosire locatie
1707297129235 38 plecare locatie
1707297129239 82 sosire locatie
1707297129239 8 sosire locatie
1707297129242 98 plecare locatie
1707297129244 86 sosire locatie
1707297129245 68 plecare locatie
1707297129250 53 plecare locatie
1707297129257 99 sosire locatie
1707297129259 85 sosire locatie
1707297129266 87 plecare locatie
1707297129264 25 sosire locatie
1707297129266 5 plecare locatie
1707297129271 57 plecare locatie
1707297129282 62 sosire locatie
1707297129283 49 plecare locatie
1707297129288 33 sosire locatie
1707297129293 73 sosire locatie
1707297129290 62 plecare locatie
1707297129293 72 plecare locatie
1707297129293 34 plecare locatie
1707297129304 12 sosire locatie
1707297129303 87 sosire locatie
1707297129311 19 sosire locatie
1707297129312 3 plecare locatie
1707297129318 74 plecare locatie
1707297129316 75 sosire locatie
1707297129323 57 sosire locatie
1707297129322 57 plecare locatie
1707297129329 17 plecare locatie
1707297129333 58 plecare locatie
1707297129336 45 sosire locatie
1707297129337 17 sosire locatie
1707297129344 22 plecare locatie
1707297129348 98 plecare locatie
1707297129348 72 sosire locatie
1707297129351 3 plecare locatie
1707297129351 43 sosire locatie
1707297129357 5 sosire locatie
1707297129363 36 plecare locatie
1707297129361 83 sosire locatie
1707297129369 51 sosire locatie
1707297129371 9 plecare locatie
1707297129371 1 sosire locatie
1707297129374 18 plecare locatie
1707297129374 74 plecare locatie
1707297129377 7 sosire locatie
1707297129384 42 plecare locatie
1707297129395 81 sosire locatie
1707297129392 33 sosire locatie
1707297129395 81 plecare locatie
1707297129398 38 sosire locatie
1707297129397 16 plecare locatie
1707297129410 29 sosire locatie
1707297129414 57 plecare locatie
1707297129415 25 plecare locatie
1707297129419 74 sosire locatie
1707297129421 36 sosire locatie
1707297129419 1 sosire locatie
1707297129426 94 plecare locatie
1707297129432 72 plecare locatie
1707297129430 88 sosire locatie
1707297129433 17 sosire locatie
1707297129445 83 plecare locatie
1707297129443 65 plecare locatie
1707297129450 85 sosire locatie
1707297129453 33 sosire locatie
1707297129451 91 plecare locatie
1707297129457 66 sosire locatie
1707297129467 65 sosire locatie
1707297129465 59 sosire locatie
1707297129469 40 sosire locatie
1707297129467 46 plecare locatie
1707297129475 92 plecare locatie
1707297129475 39 plecare locatie
1707297129479 1 sosire locatie
1707297129480 32 sosire locatie
1707297129483 15 plecare locatie
1707297129489 43 sosire locatie
1707297129489 56 sosire locatie
1707297129494 8 sosire locatie
1707297129497 34 plecare locatie
1707297129495 19 plecare locatie
1707297129501 62 sosire locatie
1707297129501 19 sosire locatie
1707297129508 69 plecare locatie
1707297129513 28 plecare locatie
1707297129513 36 sosire locatie
1707297129515 71 sosire locatie
1707297129521 62 plecare locatie
1707297129519 28 plecare locatie
1707297129525 88 sosire locatie
1707297129530 7 plecare locatie
1707297129535 79 sosire locatie
1707297129538 68 plecare locatie
1707297129542 36 plecare locatie
1707297129544 73 plecare locatie
1707297129544 37 sosire locatie
1707297129552 65 plecare locatie
1707297129554 2 sosire locatie
1707297129557 44 plecare locatie
1707297129560 74 sosire locatie
1707297129563 99 plecare locatie
1707297129566 56 sosire locatie
1707297129568 20 plecare locatie
1707297129573 66 sosire locatie
1707297129575 59 plecare locatie
1707297129584 80 sosire locatie
1707297129584 53 plecare locatie
1707297129587 49 sosire locatie
1707297129593 61 plecare locatie
1707297129597 51 plecare locatie
1707297129600 37 sosire locatie
1707297129601 40 sosire locatie
1707297129602 39 plecare locatie
1707297129608 57 sosire locatie
1707297129607 76 plecare locatie
1707297129614 88 plecare locatie
1707297129614 99 plecare locatie
1707297129619 83 sosire locatie
1707297129623 11 sosire locatie
1707297129625 58 plecare locatie
1707297129632 4 sosire locatie
1707297129635 63 plecare locatie
1707297129634 31 plecare locatie
1707297129639 60 plecare locatie
1707297129641 50 sosire locatie
1707297129642 34 sosire locatie
1707297129650 66 plecare locatie
1707297129660 19 plecare locatie
1707297129660 31 sosire locatie
1707297129662 3 plecare locatie
1707297129663 41 sosire locatie
1707297129666 40 sosire locatie
1707297129668 88 plecare locatie
1707297129671 46 sosire locatie
1707297129673 27 sosire locatie
1707297129673 16 plecare locatie
1707297129679 25 sosire locatie
1707297129688 14 sosire locatie
1707297129689 42 plecare locatie
1707297129689 62 plecare locatie
1707297129692 22 sosire locatie
1707297129696 72 sosire locatie
1707297129701 89 sosire locatie
1707297129701 15 plecare locatie
1707297129700 83 plecare locatie
1707297129704 3 plecare locatie
1707297129712 22 sosire locatie
1707297129716 73 plecare locatie
1707297129715 15 sosire locatie
1707297129721 43 sosire locatie
1707297129719 11 plecare locatie
1707297129728 96 sosire locatie
1707297129730 31 plecare locatie
1707297129736 34 sosire locatie
1707297129732 3 plecare locatie
1707297129739 91 sosire locatie
1707297129739 52 plecare locatie
1707297129744 68 plecare locatie
1707297129755 19 plecare locatie
1707297129757 63 sosire locatie
1707297129753 59 plecare locatie
1707297129759 91 sosire locatie
1707297129757 42 sosire locatie
1707297129762 46 plecare locatie
1707297129769 29 sosire locatie
1707297129772 8 sosire locatie
1707297129782 5 plecare locatie
1707297129785 9 plecare locatie
1707297129782 41 plecare locatie
1707297129788 75 sosire locatie
1707297129786 83 sosire locatie
1707297129792 10 sosire locatie
1707297129800 58 sosire locatie
1707297129801 84 sosire locatie
1707297129808 8 plecare locatie
1707297129812 69 plecare locatie
1707297129807 94 plecare locatie
1707297129814 90 sosire locatie
1707297129817 89 sosire locatie
1707297129825 36 sosire locatie
1707297129826 26 plecare locatie
1707297129827 77 sosire locatie
1707297129829 60 plecare locatie
1707297129828 68 plecare locatie
1707297129836 43 sosire locatie
1707297129837 9 plecare locatie
1707297129842 37 plecare locatie
1707297129844 8 sosire locatie
1707297129845 37 plecare locatie
1707297129849 8 plecare locatie
1707297129849 21 sosire locatie
1707297129855 93 plecare locatie
1707297129856 17 sosire locatie
1707297129856 12 sosire locatie
1707297129871 80 plecare locatie
1707297129869 73 plecare locatie
1707297129871 80 sosire locatie
1707297129878 37 sosire locatie
1707297129877 79 sosire locatie
1707297129877 65 plecare locatie
1707297129884 85 sosire locatie
1707297129885 78 plecare locatie
1707297129885 33 plecare locatie
1707297129892 40 sosire locatie
1707297129897 28 sosire locatie
1707297129894 4 plecare locatie
1707297129901 28 plecare locatie
1707297129904 82 sosire locatie
1707297129910 22 plecare locatie
1707297129912 88 sosire locatie
1707297129918 46 sosire locatie
1707297129922 54 sosire locatie
1707297129924 44 plecare locatie
1707297129931 31 plecare locatie
1707297129936 64 plecare locatie
1707297129933 25 sosire locatie
1707297129933 55 sosire locatie
1707297129946 23 plecare locatie
1707297129947 37 sosire locatie
1707297129949 46 sosire locatie
1707297129952 74 plecare locatie
1707297129955 18 sosire locatie
1707297129957 83 plecare locatie
1707297129967 43 plecare locatie
1707297129966 80 sosire locatie
1707297129968 87 sosire locatie
1707297129976 98 plecare locatie
1707297129980 71 sosire locatie
1707297129983 37 sosire locatie
1707297129981 16 sosire locatie
1707297129984 58 plecare locatie
1707297129990 15 plecare locatie
1707297130001 45 sosire locatie
1707297129998 40 plecare locatie
1707297130004 21 sosire locatie
1707297130008 61 sosire locatie
1707297130013 99 plecare locatie
1707297130019 25 sosire locatie
1707297130020 54 plecare locatie
1707297130017 57 plecare locatie
1707297130025 8 sosire locatie
1707297130023 98 sosire locatie
1707297130031 45 sosire locatie
1707297130033 27 plecare locatie
1707297130033 81 plecare locatie
1707297130038 8 sosire locatie
1707297130043 55 sosire locatie
1707297130044 99 plecare locatie
1707297130049 75 sosire locatie
1707297130054 54 plecare locatie
1707297130057 25 plecare locatie
1707297130062 59 sosire locatie
1707297130064 63 sosire locatie
1707297130070 10 sosire locatie
1707297130066 86 plecare locatie
1707297130070 23 plecare locatie
1707297130074 77 sosire locatie
1707297130079 9 plecare locatie
1707297130083 20 sosire locatie
1707297130087 14 plecare locatie
1707297130088 67 plecare locatie
1707297130095 39 sosire locatie
1707297130102 8 plecare locatie
1707297130102 14 sosire locatie
1707297130103 57 plecare locatie
1707297130104 72 sosire locatie
1707297130106 55 plecare locatie
1707297130113 23 sosire locatie
1707297130120 60 sosire locatie
1707297130121 19 plecare locatie
1707297130118 92 sosire locatie
1707297130132 82 plecare locatie
1707297130134 74 sosire locatie
1707297130133 61 plecare locatie
1707297130134 16 plecare locatie
1707297130141 68 sosire locatie
1707297130143 59 sosire locatie
1707297130148 29 plecare locatie
1707297130144 14 plecare locatie
1707297130152 89 sosire locatie
1707297130161 100 plecare locatie
1707297130162 16 sosire locatie
1707297130165 53 sosire locatie
1707297130165 90 plecare locatie
1707297130166 69 sosire locatie
1707297130175 71 plecare locatie
1707297130176 59 sosire locatie
1707297130173 85 sosire locatie
1707297130175 72 plecare locatie
1707297130182 20 sosire locatie
1707297130178 72 plecare locatie
1707297130187 82 sosire locatie
1707297130187 57 plecare locatie
1707297130187 19 plecare locatie
1707297130195 36 plecare locatie
1707297130199 35 plecare locatie
1707297130208 72 sosire locatie
1707297130205 20 sosire locatie
1707297130210 61 sosire locatie
1707297130215 71 plecare locatie
1707297130214 93 plecare locatie
1707297130218 72 plecare locatie
1707297130218 37 sosire locatie
1707297130225 1 sosire locatie
1707297130234 38 sosire locatie
1707297130239 7 plecare locatie
1707297130244 59 sosire locatie
1707297130244 24 plecare locatie
1707297130248 56 plecare locatie
1707297130255 95 plecare locatie
1707297130255 26 sosire locatie
1707297130255 67 plecare locatie
1707297130257 51 sosire locatie
1707297130267 22 sosire locatie
1707297130269 78 plecare locatie
1707297130267 47 sosire locatie
1707297130275 60 plecare locatie
1707297130276 32 plecare locatie
1707297130280 0 sosire locatie
1707297130278 81 sosire locatie
1707297130282 22 sosire locatie
1707297130291 28 plecare locatie
1707297130291 39 sosire locatie
1707297130294 66 plecare locatie
1707297130293 28 sosire locatie
1707297130300 98 sosire locatie
1707297130302 17 plecare locatie
1707297130304 98 sosire locatie
1707297130306 55 plecare locatie
1707297130314 13 plecare locatie
1707297130319 17 sosire locatie
1707297130317 20 sosire locatie
1707297130316 38 sosire locatie
1707297130326 89 plecare locatie
1707297130330 71 plecare locatie
1707297130334 15 plecare locatie
1707297130334 85 sosire locatie
1707297130340 58 sosire locatie
1707297130343 77 sosire locatie
1707297130352 15 plecare locatie
1707297130351 81 plecare locatie
1707297130358 60 sosire locatie
1707297130358 56 sosire locatie
1707297130361 24 plecare locatie
1707297130363 31 plecare locatie
1707297130362 15 sosire locatie
1707297130373 0 sosire locatie
1707297130375 87 plecare locatie
1707297130373 11 sosire locatie
1707297130379 78 sosire locatie
1707297130385 58 sosire locatie
1707297130385 91 plecare locatie
1707297130389 53 plecare locatie
1707297130394 33 plecare locatie
1707297130394 20 sosire locatie
1707297130395 25 sosire locatie
1707297130409 42 sosire locatie
1707297130411 14 plecare locatie
1707297130414 61 plecare locatie
1707297130419 27 sosire locatie
1707297130420 85 plecare locatie
1707297130419 74 sosire locatie
1707297130433 51 plecare locatie
1707297130433 49 sosire locatie
1707297130436 39 plecare locatie
1707297130437 23 sosire locatie
1707297130439 74 plecare locatie
1707297130444 57 sosire locatie
1707297130450 1 plecare locatie
1707297130455 41 sosire locatie
1707297130462 15 plecare locatie
1707297130464 48 sosire locatie
1707297130464 31 plecare locatie
1707297130467 88 sosire locatie
1707297130472 47 plecare locatie
1707297130478 57 plecare locatie
1707297130485 100 sosire locatie
1707297130488 6 plecare locatie
1707297130495 86 plecare locatie
1707297130491 81 plecare locatie
1707297130492 2 sosire locatie
1707297130494 80 sosire locatie
1707297130499 88 plecare locatie
1707297130505 10 sosire locatie
1707297130510 18 sosire locatie
1707297130513 85 plecare locatie
1707297130522 52 sosire locatie
1707297130520 27 plecare locatie
1707297130525 66 plecare locatie
1707297130532 77 sosire locatie
1707297130534 28 sosire locatie
1707297130542 79 plecare locatie
1707297130542 29 sosire locatie
1707297130547 17 sosire locatie
1707297130552 18 plecare locatie
1707297130550 100 plecare locatie
1707297130558 41 sosire locatie
1707297130560 23 sosire locatie
1707297130568 22 plecare locatie
1707297130569 63 sosire locatie
1707297130572 1 sosire locatie
1707297130574 57 plecare locatie
1707297130569 14 plecare locatie
1707297130573 83 sosire locatie
1707297130587 92 plecare locatie
1707297130591 49 plecare locatie
1707297130590 96 sosire locatie
1707297130597 10 sosire locatie
1707297130595 52 sosire locatie
1707297130600 56 plecare locatie
1707297130602 75 sosire locatie
1707297130606 80 plecare locatie
1707297130612 38 sosire locatie
1707297130613 52 sosire locatie
1707297130615 8 sosire locatie
1707297130614 13 plecare locatie
1707297130626 20 sosire locatie
1707297130625 67 plecare locatie
1707297130624 52 plecare locatie
1707297130635 70 sosire locatie
1707297130638 7 plecare locatie
1707297130642 52 plecare locatie
1707297130645 25 sosire locatie
1707297130648 28 plecare locatie
1707297130652 50 sosire locatie
1707297130653 85 plecare locatie
1707297130657 25 sosire locatie
1707297130659 36 sosire locatie
1707297130670 77 plecare locatie
1707297130671 14 plecare locatie
1707297130679 94 sosire locatie
1707297130679 96 sosire locatie
1707297130683 87 sosire locatie
1707297130685 78 plecare locatie
1707297130681 2 plecare locatie
1707297130683 24 plecare locatie
1707297130694 44 sosire locatie
1707297130696 80 sosire locatie
1707297130698 74 plecare locatie
1707297130701 2 plecare locatie
1707297130703 25 sosire locatie
1707297130706 60 sosire locatie
1707297130713 13 sosire locatie
1707297130712 71 plecare locatie
1707297130710 27 plecare locatie
1707297130716 26 sosire locatie
1707297130717 100 plecare locatie
1707297130722 9 plecare locatie
1707297130730 12 plecare locatie
1707297130734 58 sosire locatie
1707297130738 59 plecare locatie
1707297130739 81 sosire locatie
1707297130736 77 sosire locatie
1707297130743 81 plecare locatie
1707297130744 11 sosire locatie
1707297130753 78 plecare locatie
1707297130755 45 sosire locatie
1707297130760 79 sosire locatie
1707297130765 79 plecare locatie
1707297130766 44 sosire locatie
1707297130771 94 plecare locatie
1707297130775 5 sosire locatie
1707297130776 34 plecare locatie
1707297130778 68 sosire locatie
1707297130784 73 plecare locatie
1707297130788 31 plecare locatie
1707297130789 27 sosire locatie
1707297130800 20 sosire locatie
1707297130800 16 plecare locatie
1707297130801 78 plecare locatie
1707297130803 60 sosire locatie
1707297130800 96 plecare locatie
1707297130811 100 plecare locatie
1707297130816 62 sosire locatie
1707297130816 2 plecare locatie
1707297130819 38 sosire locatie
1707297130827 31 plecare locatie
1707297130830 40 plecare locatie
1707297130832 32 sosire locatie
1707297130838 76 plecare locatie
1707297130839 0 sosire locatie
