p,p_r,runner,time
0,0,cpp,0.00235099
0,0,cpp,0.00221116
0,0,cpp,0.00223085
0,0,cpp,0.00216994
0,0,cpp,0.00217699
0,0,cpp,0.00224483
0,0,cpp,0.00218721
0,0,cpp,0.00220049
0,0,cpp,0.00217928
0,0,cpp,0.0021815
4,1,cpp,0.00439734
4,1,cpp,0.00401145
4,1,cpp,0.00379623
4,1,cpp,0.00382508
4,1,cpp,0.00394666
4,1,cpp,0.00406448
4,1,cpp,0.00393161
4,1,cpp,0.00391713
4,1,cpp,0.00473611
4,1,cpp,0.00386545
4,2,cpp,0.00406717
4,2,cpp,0.00402818
4,2,cpp,0.00431083
4,2,cpp,0.00409313
4,2,cpp,0.00395242
4,2,cpp,0.00554989
4,2,cpp,0.00410378
4,2,cpp,0.00431215
4,2,cpp,0.00440587
4,2,cpp,0.00444177
6,1,cpp,0.0051902
6,1,cpp,0.00551856
6,1,cpp,0.00568388
6,1,cpp,0.00549959
6,1,cpp,0.00502733
6,1,cpp,0.00538356
6,1,cpp,0.00547913
6,1,cpp,0.00515473
6,1,cpp,0.00561888
6,1,cpp,0.00550218
6,2,cpp,0.00500836
6,2,cpp,0.00469449
6,2,cpp,0.00499545
6,2,cpp,0.00426359
6,2,cpp,0.00448414
6,2,cpp,0.00450429
6,2,cpp,0.00450789
6,2,cpp,0.00455731
6,2,cpp,0.00447357
6,2,cpp,0.00442015
8,1,cpp,0.00706055
8,1,cpp,0.00601413
8,1,cpp,0.00600019
8,1,cpp,0.00604779
8,1,cpp,0.00555559
8,1,cpp,0.00720728
8,1,cpp,0.00697343
8,1,cpp,0.00653899
8,1,cpp,0.00658584
8,1,cpp,0.00622611
8,2,cpp,0.00675484
8,2,cpp,0.00655991
8,2,cpp,0.00641082
8,2,cpp,0.00680866
8,2,cpp,0.00639636
8,2,cpp,0.00634324
8,2,cpp,0.00656833
8,2,cpp,0.00642206
8,2,cpp,0.00667307
8,2,cpp,0.00650634
16,1,cpp,0.00926766
16,1,cpp,0.00962915
16,1,cpp,0.0105473
16,1,cpp,0.0102821
16,1,cpp,0.00977194
16,1,cpp,0.0108742
16,1,cpp,0.00957411
16,1,cpp,0.0102969
16,1,cpp,0.0100098
16,1,cpp,0.0100974
16,2,cpp,0.00996828
16,2,cpp,0.00971592
16,2,cpp,0.00950173
16,2,cpp,0.00955684
16,2,cpp,0.00958715
16,2,cpp,0.00930289
16,2,cpp,0.0104393
16,2,cpp,0.00969278
16,2,cpp,0.00957808
16,2,cpp,0.00970096
