mat_row_no,mat_col_no,conv_row_no,conv_col_no,p,method,runner,elapsed
10,10,3,3,4,block,java,0.7171928882598877
10,10,3,3,4,block,java,0.7279770374298096
10,10,3,3,4,block,java,0.6720492839813232
10,10,3,3,4,block,java,0.6766359806060791
10,10,3,3,4,block,java,0.713886022567749
10,10,3,3,4,block,java,0.7356793880462646
10,10,3,3,4,block,java,0.7091822624206543
10,10,3,3,4,block,java,0.7260599136352539
10,10,3,3,4,block,java,0.7530863285064697
10,10,3,3,4,block,java,0.7995800971984863
10,10,3,3,4,block,cpp_static,0.0046808719635009766
10,10,3,3,4,block,cpp_static,0.0040357112884521484
10,10,3,3,4,block,cpp_static,0.0037822723388671875
10,10,3,3,4,block,cpp_static,0.003827333450317383
10,10,3,3,4,block,cpp_static,0.0035178661346435547
10,10,3,3,4,block,cpp_static,0.003381967544555664
10,10,3,3,4,block,cpp_static,0.003795146942138672
10,10,3,3,4,block,cpp_static,0.00429844856262207
10,10,3,3,4,block,cpp_static,0.0035779476165771484
10,10,3,3,4,block,cpp_static,0.0034139156341552734
10,10,3,3,4,block,cpp_dynamic,0.0039522647857666016
10,10,3,3,4,block,cpp_dynamic,0.0038444995880126953
10,10,3,3,4,block,cpp_dynamic,0.003567934036254883
10,10,3,3,4,block,cpp_dynamic,0.0035140514373779297
10,10,3,3,4,block,cpp_dynamic,0.0036208629608154297
10,10,3,3,4,block,cpp_dynamic,0.003224611282348633
10,10,3,3,4,block,cpp_dynamic,0.0032813549041748047
10,10,3,3,4,block,cpp_dynamic,0.0032601356506347656
10,10,3,3,4,block,cpp_dynamic,0.0030918121337890625
10,10,3,3,4,block,cpp_dynamic,0.0032286643981933594
10,10,3,3,4,row,java,0.9846980571746826
10,10,3,3,4,row,java,1.0250413417816162
10,10,3,3,4,row,java,1.0375182628631592
10,10,3,3,4,row,java,1.0313847064971924
10,10,3,3,4,row,java,0.9848673343658447
10,10,3,3,4,row,java,1.0904481410980225
10,10,3,3,4,row,java,1.0236539840698242
10,10,3,3,4,row,java,1.0693097114562988
10,10,3,3,4,row,java,1.0059118270874023
10,10,3,3,4,row,java,1.0398435592651367
10,10,3,3,4,row,cpp_static,0.0023260116577148438
10,10,3,3,4,row,cpp_static,0.0020248889923095703
10,10,3,3,4,row,cpp_static,0.0019888877868652344
10,10,3,3,4,row,cpp_static,0.002060413360595703
10,10,3,3,4,row,cpp_static,0.0019872188568115234
10,10,3,3,4,row,cpp_static,0.001991748809814453
10,10,3,3,4,row,cpp_static,0.00197601318359375
10,10,3,3,4,row,cpp_static,0.0019087791442871094
10,10,3,3,4,row,cpp_static,0.0019550323486328125
10,10,3,3,4,row,cpp_static,0.0020360946655273438
10,10,3,3,4,row,cpp_dynamic,0.002094268798828125
10,10,3,3,4,row,cpp_dynamic,0.0019676685333251953
10,10,3,3,4,row,cpp_dynamic,0.001982450485229492
10,10,3,3,4,row,cpp_dynamic,0.00199127197265625
10,10,3,3,4,row,cpp_dynamic,0.0019986629486083984
10,10,3,3,4,row,cpp_dynamic,0.002025604248046875
