p,p_r,runner,time
0,0,cpp,0.057095
0,0,cpp,0.0115637
0,0,cpp,0.0106484
0,0,cpp,0.00543985
0,0,cpp,0.004025
0,0,cpp,0.00327035
0,0,cpp,0.00286348
0,0,cpp,0.00281117
0,0,cpp,0.00277356
0,0,cpp,0.00282316
4,1,cpp,0.00491542
4,1,cpp,0.00415523
4,1,cpp,0.00418782
4,1,cpp,0.00416771
4,1,cpp,0.00479596
4,1,cpp,0.00431972
4,1,cpp,0.00395094
4,1,cpp,0.00426396
4,1,cpp,0.00410727
4,1,cpp,0.00382932
4,2,cpp,0.00386329
4,2,cpp,0.00379174
4,2,cpp,0.00388144
4,2,cpp,0.00383108
4,2,cpp,0.00368251
4,2,cpp,0.00370164
4,2,cpp,0.00375963
4,2,cpp,0.00388558
4,2,cpp,0.0036316
4,2,cpp,0.00376265
6,1,cpp,0.00444872
6,1,cpp,0.0047346
6,1,cpp,0.00477831
6,1,cpp,0.00491829
6,1,cpp,0.00478682
6,1,cpp,0.00506297
6,1,cpp,0.00487596
6,1,cpp,0.00506622
6,1,cpp,0.00500505
6,1,cpp,0.00512695
6,2,cpp,0.0046832
6,2,cpp,0.00424223
6,2,cpp,0.00415719
6,2,cpp,0.00461766
6,2,cpp,0.00444764
6,2,cpp,0.00466962
6,2,cpp,0.00456959
6,2,cpp,0.00459098
6,2,cpp,0.00496613
6,2,cpp,0.00449112
8,1,cpp,0.00623267
8,1,cpp,0.00635523
8,1,cpp,0.00631576
8,1,cpp,0.00526011
8,1,cpp,0.00631417
8,1,cpp,0.00637489
8,1,cpp,0.00570797
8,1,cpp,0.00597412
8,1,cpp,0.00614528
8,1,cpp,0.00620172
8,2,cpp,0.00601167
8,2,cpp,0.00559291
8,2,cpp,0.00590435
8,2,cpp,0.00511125
8,2,cpp,0.00586707
8,2,cpp,0.0056233
8,2,cpp,0.00615436
8,2,cpp,0.0060426
8,2,cpp,0.005844
8,2,cpp,0.0058929
16,1,cpp,0.00962052
16,1,cpp,0.00904709
16,1,cpp,0.00825066
16,1,cpp,0.00937696
16,1,cpp,0.00901719
16,1,cpp,0.00851256
16,1,cpp,0.00852234
16,1,cpp,0.00866006
16,1,cpp,0.00970712
16,1,cpp,0.00936827
16,2,cpp,0.00865564
16,2,cpp,0.00941352
16,2,cpp,0.00793527
16,2,cpp,0.00981688
16,2,cpp,0.00954002
16,2,cpp,0.00835741
16,2,cpp,0.00841249
16,2,cpp,0.00956749
16,2,cpp,0.00985443
16,2,cpp,0.00931074
