mat_row_no,mat_col_no,conv_row_no,conv_col_no,p,runner,elapsed
10,10,3,3,2,cuda,0.000356806
10,10,3,3,2,cuda,0.000358495
10,10,3,3,2,cuda,0.000377083
10,10,3,3,2,cuda,0.000390032
10,10,3,3,2,cuda,0.000355865
10,10,3,3,2,cuda,0.000354466
10,10,3,3,2,cuda,0.000366825
10,10,3,3,2,cuda,0.000355547
10,10,3,3,2,cuda,0.000359572
10,10,3,3,2,cuda,0.000357397
1000,1000,3,3,2,cuda,1.34552
1000,1000,3,3,2,cuda,1.11545
1000,1000,3,3,2,cuda,1.11532
1000,1000,3,3,2,cuda,1.11563
1000,1000,3,3,2,cuda,1.11593
1000,1000,3,3,2,cuda,1.11578
1000,1000,3,3,2,cuda,1.11576
1000,1000,3,3,2,cuda,1.1157
1000,1000,3,3,2,cuda,1.11678
1000,1000,3,3,2,cuda,1.11549
1000,1000,3,3,4,cuda,0.565221
1000,1000,3,3,4,cuda,0.565199
1000,1000,3,3,4,cuda,0.565173
1000,1000,3,3,4,cuda,0.565137
1000,1000,3,3,4,cuda,0.565156
1000,1000,3,3,4,cuda,0.565143
1000,1000,3,3,4,cuda,0.565131
1000,1000,3,3,4,cuda,0.565155
1000,1000,3,3,4,cuda,0.56509
1000,1000,3,3,4,cuda,0.566204
1000,1000,3,3,8,cuda,0.286827
1000,1000,3,3,8,cuda,0.28683
1000,1000,3,3,8,cuda,0.286794
1000,1000,3,3,8,cuda,0.286799
1000,1000,3,3,8,cuda,0.286766
1000,1000,3,3,8,cuda,0.286773
1000,1000,3,3,8,cuda,0.286761
1000,1000,3,3,8,cuda,0.286736
1000,1000,3,3,8,cuda,0.286751
1000,1000,3,3,8,cuda,0.286766
1000,1000,3,3,16,cuda,0.158342
1000,1000,3,3,16,cuda,0.158356
1000,1000,3,3,16,cuda,0.158416
1000,1000,3,3,16,cuda,0.158377
1000,1000,3,3,16,cuda,0.15836
1000,1000,3,3,16,cuda,0.158423
1000,1000,3,3,16,cuda,0.158388
1000,1000,3,3,16,cuda,0.158394
1000,1000,3,3,16,cuda,0.158401
1000,1000,3,3,16,cuda,0.158367
10000,10000,3,3,2,cuda,117.539
10000,10000,3,3,2,cuda,117.628
10000,10000,3,3,2,cuda,117.539
10000,10000,3,3,2,cuda,117.513
10000,10000,3,3,2,cuda,117.526
10000,10000,3,3,2,cuda,117.507
10000,10000,3,3,2,cuda,117.496
10000,10000,3,3,2,cuda,118.214
10000,10000,3,3,2,cuda,118.838
10000,10000,3,3,2,cuda,118.845
10000,10000,3,3,4,cuda,59.9403
10000,10000,3,3,4,cuda,59.9774
10000,10000,3,3,4,cuda,59.9532
10000,10000,3,3,4,cuda,59.9608
10000,10000,3,3,4,cuda,59.9341
10000,10000,3,3,4,cuda,59.8845
10000,10000,3,3,4,cuda,59.9343
10000,10000,3,3,4,cuda,59.9469
10000,10000,3,3,4,cuda,59.9377
10000,10000,3,3,4,cuda,59.976
10000,10000,3,3,8,cuda,30.7985
10000,10000,3,3,8,cuda,30.6473
10000,10000,3,3,8,cuda,30.7689
10000,10000,3,3,8,cuda,30.6479
10000,10000,3,3,8,cuda,30.7579
10000,10000,3,3,8,cuda,30.6702
10000,10000,3,3,8,cuda,30.756
10000,10000,3,3,8,cuda,30.6459
10000,10000,3,3,8,cuda,30.7063
10000,10000,3,3,8,cuda,30.6453
10000,10000,3,3,16,cuda,16.3262
10000,10000,3,3,16,cuda,16.221
10000,10000,3,3,16,cuda,16.3715
10000,10000,3,3,16,cuda,16.2196
10000,10000,3,3,16,cuda,16.35
10000,10000,3,3,16,cuda,16.2275
10000,10000,3,3,16,cuda,16.343
10000,10000,3,3,16,cuda,16.2213
10000,10000,3,3,16,cuda,16.363
10000,10000,3,3,16,cuda,16.2222
