mat_row_no,mat_col_no,conv_row_no,conv_col_no,p,runner,elapsed
10,10,3,3,2,cuda,0.000343461
10,10,3,3,2,cuda,0.000345306
10,10,3,3,2,cuda,0.000338583
10,10,3,3,2,cuda,0.000349274
10,10,3,3,2,cuda,0.00034345
10,10,3,3,2,cuda,0.000339872
10,10,3,3,2,cuda,0.000344289
10,10,3,3,2,cuda,0.000343577
10,10,3,3,2,cuda,0.000344711
10,10,3,3,2,cuda,0.000340544
1000,1000,3,3,2,cuda,1.36883
1000,1000,3,3,2,cuda,1.11556
1000,1000,3,3,2,cuda,1.11552
1000,1000,3,3,2,cuda,1.11536
1000,1000,3,3,2,cuda,1.11607
1000,1000,3,3,2,cuda,1.12329
1000,1000,3,3,2,cuda,1.12329
1000,1000,3,3,2,cuda,1.12318
