VERIFICAT: 0 0
0 1 1707292925078 oferit
0 1 1707292925078 consumat
1 2 1707292925082 oferit
1 1 1707292925082 consumat
0 1 1707292925086 consumat
VERIFICAT: 3 3
0 1 1707292925078 oferit
0 1 1707292925078 consumat
1 2 1707292925082 oferit
1 1 1707292925082 consumat
0 1 1707292925086 consumat
0 5 1707292925093 oferit
2 1 1707292925093 consumat
0 1 1707292925093 consumat
2 1 1707292925100 consumat
0 1 1707292925100 consumat
VERIFICAT: 8 7
0 1 1707292925078 oferit
0 1 1707292925078 consumat
1 2 1707292925082 oferit
1 1 1707292925082 consumat
0 1 1707292925086 consumat
0 5 1707292925093 oferit
2 1 1707292925093 consumat
0 1 1707292925093 consumat
2 1 1707292925100 consumat
0 1 1707292925100 consumat
2 1 1707292925107 consumat
VERIFICAT: 8 8
0 1 1707292925078 oferit
0 1 1707292925078 consumat
1 2 1707292925082 oferit
1 1 1707292925082 consumat
0 1 1707292925086 consumat
0 5 1707292925093 oferit
2 1 1707292925093 consumat
0 1 1707292925093 consumat
2 1 1707292925100 consumat
0 1 1707292925100 consumat
2 1 1707292925107 consumat
1 5 1707292925119 oferit
4 1 1707292925119 consumat
VERIFICAT: 13 9
0 1 1707292925078 oferit
0 1 1707292925078 consumat
1 2 1707292925082 oferit
1 1 1707292925082 consumat
0 1 1707292925086 consumat
0 5 1707292925093 oferit
2 1 1707292925093 consumat
0 1 1707292925093 consumat
2 1 1707292925100 consumat
0 1 1707292925100 consumat
2 1 1707292925107 consumat
1 5 1707292925119 oferit
4 1 1707292925119 consumat
4 1 1707292925126 consumat
4 1 1707292925133 consumat
VERIFICAT: 13 11
0 1 1707292925078 oferit
0 1 1707292925078 consumat
1 2 1707292925082 oferit
1 1 1707292925082 consumat
0 1 1707292925086 consumat
0 5 1707292925093 oferit
2 1 1707292925093 consumat
0 1 1707292925093 consumat
2 1 1707292925100 consumat
0 1 1707292925100 consumat
2 1 1707292925107 consumat
1 5 1707292925119 oferit
4 1 1707292925119 consumat
4 1 1707292925126 consumat
4 1 1707292925133 consumat
4 1 1707292925140 consumat
4 1 1707292925148 consumat
0 3 1707292925149 oferit
3 1 1707292925149 consumat
VERIFICAT: 16 14
0 1 1707292925078 oferit
0 1 1707292925078 consumat
1 2 1707292925082 oferit
1 1 1707292925082 consumat
0 1 1707292925086 consumat
0 5 1707292925093 oferit
2 1 1707292925093 consumat
0 1 1707292925093 consumat
2 1 1707292925100 consumat
0 1 1707292925100 consumat
2 1 1707292925107 consumat
1 5 1707292925119 oferit
4 1 1707292925119 consumat
4 1 1707292925126 consumat
4 1 1707292925133 consumat
4 1 1707292925140 consumat
4 1 1707292925148 consumat
0 3 1707292925149 oferit
3 1 1707292925149 consumat
4 1 1707292925155 consumat
3 1 1707292925157 consumat
VERIFICAT: 16 16
0 1 1707292925078 oferit
0 1 1707292925078 consumat
1 2 1707292925082 oferit
1 1 1707292925082 consumat
0 1 1707292925086 consumat
0 5 1707292925093 oferit
2 1 1707292925093 consumat
0 1 1707292925093 consumat
2 1 1707292925100 consumat
0 1 1707292925100 consumat
2 1 1707292925107 consumat
1 5 1707292925119 oferit
4 1 1707292925119 consumat
4 1 1707292925126 consumat
4 1 1707292925133 consumat
4 1 1707292925140 consumat
4 1 1707292925148 consumat
0 3 1707292925149 oferit
3 1 1707292925149 consumat
4 1 1707292925155 consumat
3 1 1707292925157 consumat
0 4 1707292925164 oferit
5 1 1707292925164 consumat
3 1 1707292925164 consumat
5 1 1707292925171 consumat
3 1 1707292925171 consumat
1 2 1707292925174 oferit
6 1 1707292925174 consumat
VERIFICAT: 22 21
0 1 1707292925078 oferit
0 1 1707292925078 consumat
1 2 1707292925082 oferit
1 1 1707292925082 consumat
0 1 1707292925086 consumat
0 5 1707292925093 oferit
2 1 1707292925093 consumat
0 1 1707292925093 consumat
2 1 1707292925100 consumat
0 1 1707292925100 consumat
2 1 1707292925107 consumat
1 5 1707292925119 oferit
4 1 1707292925119 consumat
4 1 1707292925126 consumat
4 1 1707292925133 consumat
4 1 1707292925140 consumat
4 1 1707292925148 consumat
0 3 1707292925149 oferit
3 1 1707292925149 consumat
4 1 1707292925155 consumat
3 1 1707292925157 consumat
0 4 1707292925164 oferit
5 1 1707292925164 consumat
3 1 1707292925164 consumat
5 1 1707292925171 consumat
3 1 1707292925171 consumat
1 2 1707292925174 oferit
6 1 1707292925174 consumat
5 1 1707292925178 consumat
2 2 1707292925181 oferit
7 1 1707292925181 consumat
5 1 1707292925185 consumat
VERIFICAT: 24 24
0 1 1707292925078 oferit
0 1 1707292925078 consumat
1 2 1707292925082 oferit
1 1 1707292925082 consumat
0 1 1707292925086 consumat
0 5 1707292925093 oferit
2 1 1707292925093 consumat
0 1 1707292925093 consumat
2 1 1707292925100 consumat
0 1 1707292925100 consumat
2 1 1707292925107 consumat
1 5 1707292925119 oferit
4 1 1707292925119 consumat
4 1 1707292925126 consumat
4 1 1707292925133 consumat
4 1 1707292925140 consumat
4 1 1707292925148 consumat
